policy,sigma,episodes,success_rate,manip_enter_rate,success_given_manip_entered,reward_mean,manip_frac_mean,violation_rate_mean,max_force_mean,min_dist_mean
SACV_2M,0.0,30,0.7666666666666667,0.9333333333333333,0.8214285714285714,1772.2101062416957,0.7852666666666667,0.03253333333333333,46.5294637331381,0.009153367690561747
M4_1_baseline,0.0,30,0.6,0.7333333333333333,0.8181818181818182,1373.6055382964141,0.6047333333333333,0.028000000000000004,38.3629089373931,0.02476000388219098
M4_1_repl0,0.0,30,0.7,0.8666666666666667,0.8076923076923077,1634.9448618623808,0.7282,0.019733333333333335,46.944189635945676,0.022679765001501886
SACV_2M,0.01,30,0.7,0.8333333333333334,0.84,1655.5029242112473,0.7307333333333332,0.05513333333333334,53.76516875757499,0.00921663123494183
M4_1_baseline,0.01,30,0.6333333333333333,0.7666666666666667,0.8260869565217391,1505.3183235457689,0.6640666666666667,0.009466666666666668,36.77389514337664,0.0274652434891384
M4_1_repl0,0.01,30,0.6333333333333333,0.8,0.7916666666666666,1459.0174636374345,0.6529333333333333,0.017333333333333336,44.548050260134545,0.02479400693908795
SACV_2M,0.02,30,0.7333333333333333,0.9,0.8148148148148148,1759.2798401163604,0.7802666666666666,0.03126666666666667,49.61577548140746,0.010936468547915763
M4_1_baseline,0.02,30,0.6,0.7666666666666667,0.782608695652174,1416.2859388172212,0.6311333333333332,0.020200000000000003,34.46461294768058,0.02914672679496508
M4_1_repl0,0.02,30,0.7,0.8333333333333334,0.84,1557.6935946503222,0.7099333333333334,0.019333333333333334,42.612367650016196,0.03089096819805767
SACV_2M,0.04,30,0.7666666666666667,0.9,0.8518518518518519,1730.6667624324757,0.7677333333333334,0.0402,53.896398885062275,0.011201845236584986
M4_1_baseline,0.04,30,0.5666666666666667,0.8,0.7083333333333334,1467.9651887925925,0.6461333333333333,0.020200000000000003,45.44708837706936,0.027203397966935345
M4_1_repl0,0.04,30,0.6,0.8333333333333334,0.72,1513.32893528656,0.6799333333333333,0.030066666666666672,40.50182383037639,0.032028546044899034
SACV_2M,0.06,30,0.6333333333333333,0.8666666666666667,0.7307692307692307,1515.7828649407518,0.6683999999999999,0.04926666666666667,52.774211621569904,0.013265941454842218
M4_1_baseline,0.06,30,0.3333333333333333,0.5333333333333333,0.625,508.67842999360033,0.3809333333333333,0.016866666666666665,38.615988674529135,0.04654912161774021
M4_1_repl0,0.06,30,0.4,0.5333333333333333,0.75,955.5906869624176,0.4252,0.024866666666666662,39.95580961525139,0.0470284850892898
